,event,preprocessed_text
42,Other / Unknown,final west texas aampm golden bears fall to lady buffs in five sets ellie sieling kills digs emma schmidt digs kills teagan starkey assists digs begolden wearecsp nsicvb
43,Other / Unknown,white helmets for texas aampm by next update i stg
44,Other / Unknown,covid year asidepick any texas aampm team in the last years
45,Other / Unknown,nash texas aampm equipment tweeted icy white in august of please show me where texas used this term prior to that
46,Other / Unknown,brian kelly vs jimbo fisher in the cfl next year
47,Other / Unknown,his son plays with texas aampm
48,Other / Unknown,the post is saying texas aampm won by a huge amount and he was still fired and that that happening here would be the best possible outcome
49,Other / Unknown,live look at texas aampm
50,Other / Unknown,why would you start graham mertz over dj lagway against texas aampm billy
51,Other / Unknown,reminder that texas aampm is exclusively a psycho cult and not an educational institution
52,Other / Unknown,the funniest thing about this is it shows how little self respect they have for their own school i would be pissed if we copied an aampm or ou alternate signature jersey
53,Other / Unknown,this is prime time at a top texas aampm bar it is right to think they are a cult and think they suck
54,Other / Unknown,last time texas aampm was in the swamp the aggies rolled the gators
55,Other / Unknown,oops our fault youre totally right i forgot texas aampm has never worn white helmets ever in their history wait
56,Other / Unknown,well isnt that interesting
57,Other / Unknown,google texas aampm signs greatest recruiting class of all time amp google ai hits you with this
58,Other / Unknown,high five friday west texas aampm linebackers were at lakeview elementary in canyon isd
59,Other / Unknown,is connor weigman good or is texas aampm just gay
60,Other / Unknown,why would you start graham mertz over dj lagway against texas aampm billy
61,Other / Unknown,oops our fault youre totally right i forgot texas aampm has never worn white helmets ever in their history wait
62,Other / Unknown,the texas aampm staff to conner weigman
63,Other / Unknown,live look at texas aampm
64,Other / Unknown,the funniest thing about this is it shows how little self respect they have for their own school i would be pissed if we copied an aampm or ou alternate signature jersey
65,Other / Unknown,reminder that texas aampm is exclusively a psycho cult and not an educational institution
66,Other / Unknown,heres a great moment with texas aampm qb conner weigman when he was asked by a local college station reporter about his accent
67,Other / Unknown,star wr in the class of johntay cook ii on his recent visit with the texas aampm aggies i still aint seen no football trophies
68,Other / Unknown,conner weigman watching his backup lead texas aampm on two scoring drives in the st quarter
69,Other / Unknown,texas aampm qb is good
70,Other / Unknown,um your game against the texas aampm aggies are currently on a lightning delay bruh gator weather be like
71,Other / Unknown,based mostly on snap count this is what the texas aampm depth chart looks like heading into week
72,Transfer,just another star recruit tech fans will never get to see what would have been he will transfer bc he would be playing at aampm texas and osu
73,home game,this was the first texas aampm home game after happened not my picture but i wish i could have been there
74,home game,this was the first texas aampm home game after happened not my picture but i wish i could have been there
75,offseason,is there what has texas aampm done they were last year they did not improve in the offseason niu went on the road and beat notre dame
